L N d seed D_(MIS-1) D_MIS MIS
11 97 0.8 433 333880 4919 31
11 97 0.8 434 40316 489 32
11 97 0.8 435 54304 598 32
11 97 0.8 436 631396 8992 31
11 97 0.8 437 24938118 459432 30
11 97 0.8 438 167976 1476 30
11 97 0.8 439 26718 46 32
11 97 0.8 440 5672 48 33
11 97 0.8 441 9455 97 32
11 97 0.8 442 34791 442 33
11 97 0.8 443 18542 144 32
11 97 0.8 444 12268 115 33
11 97 0.8 445 39008 448 33
11 97 0.8 446 178070 1860 31
11 97 0.8 447 2626653 38502 30
11 97 0.8 448 2696 24 32
11 97 0.8 449 91215 1242 32
11 97 0.8 450 188548 2134 31
11 97 0.8 451 1420841 21234 30
11 97 0.8 452 1076 4 32
11 97 0.8 453 153920 2040 32
11 97 0.8 454 52088 660 32
11 97 0.8 455 6202 60 32
11 97 0.8 456 751797 9880 30
11 97 0.8 457 8618 104 33
11 97 0.8 458 7847 66 32
11 97 0.8 459 104775 1098 31
11 97 0.8 460 31086 400 33
11 97 0.8 461 4515 51 32
11 97 0.8 462 1761 14 34
11 97 0.8 463 1433439 22089 30
11 97 0.8 464 2073235 36384 31
11 97 0.8 465 2564 24 33
11 97 0.8 466 15605 30 30
11 97 0.8 467 51940 512 31
11 97 0.8 468 29520 352 32
11 97 0.8 469 1138798 14256 30
11 97 0.8 470 1197958 18172 31
11 97 0.8 471 1045121 16872 31
11 97 0.8 472 4125776 9024 29
11 97 0.8 473 10200 24 32
11 97 0.8 474 23634 276 33
11 97 0.8 475 28474 112 32
11 97 0.8 476 1851 18 33
11 97 0.8 477 2662 24 33
11 97 0.8 478 98012 1015 32
11 97 0.8 479 1028103 12823 30
11 97 0.8 480 15128 200 32
11 97 0.8 481 63052 880 32
11 97 0.8 482 1074485 17864 31
11 97 0.8 483 187728 2624 31
11 97 0.8 484 10600 20 31
11 97 0.8 485 1280 16 33
11 97 0.8 486 387176 5423 31
11 97 0.8 487 458994 3698 31
11 97 0.8 488 404358 5872 31
11 97 0.8 489 11364 88 32
11 97 0.8 490 23326 270 32
11 97 0.8 491 617919 9670 32
11 97 0.8 492 7166574 89550 29
11 97 0.8 493 479921 6560 32
11 97 0.8 494 5023 51 32
11 97 0.8 495 8634 98 33
11 97 0.8 496 21638 216 32
11 97 0.8 497 121543 1295 31
11 97 0.8 498 183588 2624 32
11 97 0.8 499 9953 105 33
11 97 0.8 500 9817 96 32
11 97 0.8 501 14628.0 140.0 33
11 97 0.8 502 25576.0 344.0 33
11 97 0.8 503 15856.0 96.0 31
11 97 0.8 504 250351.0 3357.0 30
11 97 0.8 505 205953.0 2544.0 31
11 97 0.8 506 1.135671e6 13260.0 30
11 97 0.8 507 67984.0 780.0 32
11 97 0.8 508 101928.0 1408.0 32
11 97 0.8 509 1.154811e6 17127.0 30
11 97 0.8 510 6820.0 56.0 32
11 97 0.8 511 19420.0 192.0 32
11 97 0.8 512 1.978664e6 27756.0 30
11 97 0.8 513 97294.0 1312.0 33
11 97 0.8 514 7265.0 60.0 32
11 97 0.8 515 105001.0 1500.0 32
11 97 0.8 516 93930.0 875.0 31
11 97 0.8 517 48738.0 540.0 32
11 97 0.8 518 302608.0 4424.0 31
11 97 0.8 519 80574.0 1144.0 31
11 97 0.8 520 14004.0 70.0 32
11 97 0.8 521 229914.0 2724.0 31
11 97 0.8 522 218802.0 2020.0 31
11 97 0.8 523 423531.0 4788.0 31
11 97 0.8 524 812476.0 9376.0 30
11 97 0.8 525 936777.0 14978.0 31
11 97 0.8 526 729971.0 9684.0 31
11 97 0.8 527 7496.0 88.0 33
11 97 0.8 528 65661.0 420.0 32
11 97 0.8 529 21069.0 216.0 33
11 97 0.8 530 406804.0 5638.0 31
11 97 0.8 531 180474.0 2004.0 31
11 97 0.8 532 1118.0 10.0 34
