L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
21,0.8,10,1.415,6,0.481159,2.464629,0.483099,0.407067,2.242091,0.40883,127
21,0.8,10,1.415,7,1.695779,11.430933,1.697696,1.390225,9.654677,1.391957,130
21,0.8,10,1.415,8,2.571318,17.35311,2.573318,1.067148,7.271714,1.06892,132
21,0.8,10,1.415,9,3.474752,21.471996,3.477001,0.746291,5.152373,0.748148,136
21,0.8,10,1.415,10,9.406644,69.29185,9.408562,1.941869,13.417137,1.943657,136
21,0.8,10,1.415,11,4.206789,30.177474,4.208734,2.069464,13.993823,2.071262,139
21,0.8,10,1.415,12,6.082749,42.373398,6.085052,3.470284,22.339101,3.472308,141
21,0.8,10,1.415,13,15.602094,115.165919,15.604088,8.843015,64.109345,8.844785,142
21,0.8,10,1.415,14,20.368915,151.706554,20.370888,1.531624,10.16832,1.533492,142
21,0.8,10,1.415,15,71.379548,550.975794,71.381512,24.503153,185.088432,24.505116,141
21,0.8,10,1.415,16,23.132051,172.479694,23.13398,14.865943,107.78537,14.867752,143
21,0.8,10,1.415,17,35.645018,265.799997,35.647083,4.065146,27.267135,4.066919,142
21,0.8,10,1.415,18,65.11181,498.909607,65.11378,10.438118,76.515861,10.439923,141
21,0.8,10,1.415,19,83.023425,637.455156,83.0254,49.246708,374.669654,49.248539,141
21,0.8,10,1.415,20,30.449932,228.535185,30.45198,26.82743,198.81698,26.829393,142
21,0.8,11,1.415,1,0.015772,0.024223,0.017695,0.014964,0.023268,0.016737,113
21,0.8,11,1.415,2,0.116111,0.21271,0.118236,0.153247,0.210087,0.155216,117
21,0.8,11,1.415,3,0.165365,0.303176,0.167261,0.179616,0.317537,0.181369,119
21,0.8,11,1.415,4,0.194803,0.773058,0.196679,0.204733,0.795811,0.206489,124
21,0.8,11,1.415,5,0.187389,0.485922,0.189275,0.180827,0.477412,0.182623,130
21,0.8,11,1.415,6,0.636331,3.387588,0.638244,0.220562,1.355347,0.222312,132
21,0.8,11,1.415,7,0.424902,1.952485,0.426795,0.445067,2.078064,0.44685,137
21,0.8,11,1.415,8,1.624965,10.856861,1.626945,0.761565,4.939928,0.763366,137
21,0.8,11,1.415,9,1.878992,11.7305,1.88092,0.802748,5.283392,0.805193,140
21,0.8,11,1.415,10,9.950249,71.090117,9.952315,0.771468,5.058495,0.773287,139
21,0.8,11,1.415,11,14.757424,110.269226,14.759441,1.422413,9.4734,1.424163,140
21,0.8,11,1.415,12,17.364002,129.556509,17.365998,10.087471,73.069937,10.089249,140
21,0.8,11,1.415,13,19.253107,143.590317,19.255004,2.809376,19.225687,2.811162,141
21,0.8,11,1.415,14,11.715601,86.036874,11.71748,7.682668,55.580702,7.684526,143
21,0.8,11,1.415,15,15.568335,114.789162,15.570629,3.605227,24.659491,3.60701,144
21,0.8,11,1.415,16,103.277773,796.363036,103.279788,13.964466,100.796097,13.966432,141
21,0.8,11,1.415,17,66.676341,510.235217,66.678324,14.763484,109.112306,14.76526,141
21,0.8,11,1.415,18,114.898995,878.087252,114.901423,40.635713,308.06527,40.637546,140
21,0.8,11,1.415,19,65.175416,500.004765,65.178043,65.313566,504.118531,65.315442,140
21,0.8,11,1.415,20,38.455963,290.035752,38.457878,30.726824,231.424281,30.728617,141
21,0.8,12,1.415,1,0.01457,0.027079,0.016466,0.014044,0.024609,0.015814,115
21,0.8,12,1.415,2,0.123173,0.512578,0.125103,0.152763,0.51186,0.154795,117
21,0.8,12,1.415,3,0.195371,0.592192,0.197326,0.180513,0.506054,0.182349,122
21,0.8,12,1.415,4,0.170196,0.365465,0.172205,0.16833,0.352496,0.170892,127
21,0.8,12,1.415,5,0.232778,1.10959,0.234726,0.206149,1.009019,0.207964,131
21,0.8,12,1.415,6,0.337749,1.48249,0.339799,0.23484,1.289048,0.23668,133
21,0.8,12,1.415,7,0.525494,3.147155,0.527437,0.288751,1.705107,0.29055,136
21,0.8,12,1.415,8,0.530299,2.544429,0.532223,0.625322,2.073115,0.627099,138
21,0.8,12,1.415,9,2.745547,17.501685,2.747488,2.077728,14.402964,2.079637,139
21,0.8,12,1.415,10,2.38646,15.854683,2.388322,2.03223,13.565221,2.03401,142
21,0.8,12,1.415,11,3.338242,21.482153,3.340241,2.357198,15.718605,2.359022,143
21,0.8,12,1.415,12,3.560322,22.556304,3.562272,1.06114,7.120544,1.062998,144
21,0.8,12,1.415,13,13.23224,97.720166,13.234168,2.380524,16.322003,2.382321,144
21,0.8,12,1.415,14,7.706617,57.431864,7.708598,5.108077,37.37749,5.109894,144
21,0.8,12,1.415,15,10.529688,76.624061,10.531638,13.177612,97.273885,13.179384,146
21,0.8,12,1.415,16,11.87989,83.188074,11.881819,2.799616,18.854312,2.80172,146
21,0.8,12,1.415,17,7.11964,49.655814,7.121553,2.4728,15.467299,2.474533,146
21,0.8,12,1.415,18,14.761462,109.425313,14.763329,14.013741,105.27328,14.015514,145
21,0.8,12,1.415,19,7.000251,51.208242,7.002169,0.470014,3.25835,0.471775,144
21,0.8,12,1.415,20,18.922956,140.007555,18.924961,1.806926,11.808563,1.808794,144
21,0.8,13,1.415,1,0.038324,0.06825,0.040399,0.056242,0.095868,0.058079,113
