L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
21,0.8,5,1.415,14,399.726973,3128.246674,399.729095,47.489655,359.132188,47.491585,133
21,0.8,5,1.415,15,425.809511,3343.186361,425.81192,116.378548,897.853509,116.380377,134
21,0.8,5,1.415,16,331.424751,2595.547472,331.426687,104.123022,792.810613,104.124912,135
21,0.8,5,1.415,17,395.590105,3100.119703,395.592147,66.825911,512.693489,66.828156,135
21,0.8,5,1.415,18,146.350827,1134.278645,146.35298,55.931959,429.548205,55.933912,137
21,0.8,5,1.415,19,109.050601,838.60669,109.052632,17.768453,130.230698,17.770293,137
21,0.8,5,1.415,20,36.381258,275.817472,36.383435,55.226593,421.757631,55.228528,139
21,0.8,6,1.415,1,0.055922,0.124114,0.057949,0.057389,0.131871,0.059404,113
21,0.8,6,1.415,2,0.17268,0.459311,0.174785,0.225374,0.35296,0.228384,116
21,0.8,6,1.415,3,0.30504,0.893283,0.307549,0.275857,0.728562,0.278178,120
21,0.8,6,1.415,4,0.514629,2.170119,0.516804,0.311696,1.73766,0.313603,122
21,0.8,6,1.415,5,1.51304,7.583075,1.515127,0.502388,3.291085,0.50433,123
21,0.8,6,1.415,6,9.105618,65.076199,9.107796,0.800666,5.356634,0.802672,125
21,0.8,6,1.415,7,2.929663,19.591729,2.931705,1.229488,7.947897,1.231358,128
21,0.8,6,1.415,8,3.358686,21.824381,3.360807,3.558704,25.558285,3.560681,131
21,0.8,6,1.415,9,42.321278,321.976749,42.323268,3.234029,23.241547,3.235939,130
21,0.8,6,1.415,10,20.217552,151.583303,20.219736,4.02491,29.43377,4.026727,133
21,0.8,6,1.415,11,30.237621,228.363734,30.239583,20.70977,155.328215,20.711652,134
