L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
11,0.8,11,3.0,0.087152,0.382274,0.090952,0.01262,0.019439,0.014244,13
11,0.8,12,3.0,0.060707,0.165362,0.062342,0.064787,0.266588,0.066303,14
11,0.8,13,3.0,0.214372,0.435318,0.216185,0.154715,0.304803,0.157773,14
11,0.8,14,3.0,0.069744,0.281478,0.074049,0.013556,0.019669,0.015012,13
11,0.8,15,3.0,0.137744,0.497544,0.139451,0.109974,0.499898,0.111768,13
11,0.8,16,3.0,0.184671,0.296051,0.187739,0.198153,0.401377,0.200135,14
11,0.8,17,3.0,0.093685,0.362634,0.095317,0.013298,0.02069,0.014851,13
11,0.8,18,3.0,0.060925,0.247259,0.062615,0.015878,0.022859,0.017632,13
11,0.8,19,3.0,0.088872,0.327901,0.090516,0.013827,0.020724,0.015707,13
11,0.8,20,3.0,0.090427,0.43222,0.092066,0.013625,0.020451,0.015087,13
11,0.8,21,3.0,0.06352,0.246263,0.065108,0.014912,0.017444,0.016636,13
11,0.8,22,3.0,0.068678,0.154063,0.070367,0.081028,0.232152,0.082566,14
11,0.8,23,3.0,0.070236,0.237348,0.072048,0.063341,0.214567,0.064857,13
11,0.8,24,3.0,0.038554,0.088433,0.040207,0.014661,0.020286,0.01629,13
11,0.8,25,3.0,0.042499,0.10878,0.044331,0.041956,0.165916,0.045035,13
11,0.8,26,3.0,0.109062,0.497406,0.110698,0.014136,0.02124,0.015604,13
11,0.8,27,3.0,0.039765,0.037553,0.044254,0.015197,0.023307,0.01719,14
11,0.8,28,3.0,0.184354,0.402654,0.185943,0.164017,0.271015,0.165799,14
11,0.8,29,3.0,0.07549,0.373863,0.077158,0.016386,0.020064,0.017899,13
11,0.8,30,3.0,0.01414,0.01973,0.015716,0.012378,0.019258,0.013904,14
11,0.8,31,3.0,0.020196,0.034591,0.022182,0.027621,0.036159,0.029622,13
11,0.8,32,3.0,0.131845,0.373588,0.133546,0.017327,0.022229,0.018877,13
11,0.8,33,3.0,0.0547,0.160351,0.05636,0.05029,0.128626,0.051763,14
11,0.8,34,3.0,0.080553,0.341683,0.082159,0.126118,0.506341,0.12762,13
11,0.8,35,3.0,0.135248,0.635557,0.136997,0.011734,0.018189,0.013272,13
11,0.8,36,3.0,0.076729,0.247023,0.078359,0.024108,0.024059,0.025579,13
11,0.8,37,3.0,0.076706,0.305407,0.078821,0.054708,0.211363,0.056518,14
11,0.8,38,3.0,0.050736,0.211312,0.052419,0.073739,0.33214,0.075775,14
11,0.8,39,3.0,0.137536,0.5878,0.142587,0.01695,0.021138,0.019324,13
11,0.8,40,3.0,0.117151,0.237132,0.11879,0.152791,0.252203,0.154319,14
13,0.8,0,3.0,0.275208,0.636668,0.277024,0.250035,0.776316,0.252009,18
13,0.8,1,3.0,0.171579,0.637226,0.173497,0.025173,0.031816,0.026921,18
13,0.8,2,3.0,0.209325,0.539125,0.211545,0.260749,0.658445,0.263055,18
13,0.8,3,3.0,0.207417,0.565028,0.211655,0.254821,0.907486,0.260047,18
13,0.8,4,3.0,0.203284,0.478434,0.205266,0.179959,0.634567,0.181628,18
13,0.8,5,3.0,0.221526,0.592155,0.223389,0.018383,0.025558,0.020082,18
13,0.8,6,3.0,0.191175,0.615807,0.193171,0.219426,0.985779,0.22129,18
13,0.8,7,3.0,0.201838,0.496828,0.204166,0.209906,0.547598,0.211665,18
13,0.8,8,3.0,0.297334,0.450969,0.299479,0.230942,0.790543,0.232641,18
13,0.8,9,3.0,0.199751,0.56093,0.20203,0.029156,0.027615,0.031796,18
13,0.8,10,3.0,0.084805,0.313139,0.086792,0.022452,0.027741,0.025861,18
